1 KEY_ZL 0;0 0;0
2 NONE 0;0 0;0
3 NONE 0;0 0;0
4 NONE 0;0 0;0
5 NONE 0;0 0;0
6 KEY_ZL 0;0 0;0
690 NONE 0;32032 0;0
691 NONE 0;32032 0;0
692 NONE 0;32032 0;0
693 NONE 0;32032 0;0
694 NONE 0;32032 0;0
695 NONE 0;32032 0;0
696 NONE 0;32032 0;0
697 NONE 0;32032 0;0
698 NONE 0;32032 0;0
699 NONE 0;32032 0;0
700 NONE 0;32032 0;0
701 NONE 0;32032 0;0
702 NONE 0;32032 0;0
703 NONE 0;32032 0;0
704 NONE 0;32032 0;0
705 NONE 0;32032 0;0
706 NONE 0;32032 0;0
707 NONE 0;32032 0;0
708 NONE 0;32032 0;0
709 NONE 0;32032 0;0
710 NONE 0;32032 0;0
711 NONE 0;32032 0;0
712 NONE 0;32032 0;0
713 NONE 0;32032 0;0
714 NONE 0;32032 0;0
715 NONE 0;32032 0;0
716 NONE 0;32032 0;0
717 NONE 0;32032 0;0
718 NONE 0;32032 0;0
719 NONE 0;32032 0;0
720 NONE 0;32032 0;0
721 NONE 0;32032 0;0
722 NONE 0;32032 0;0
723 NONE 0;32032 0;0
724 NONE 0;32032 0;0
725 NONE 0;32032 0;0
726 NONE 0;32032 0;0
727 NONE 0;32032 0;0
728 NONE 0;32032 0;0
729 NONE 0;32032 0;0
730 NONE 0;32032 0;0
731 NONE 0;32032 0;0
732 NONE 0;32032 0;0
733 NONE 0;32032 0;0
734 NONE 0;32032 0;0
735 NONE 0;32032 0;0
736 NONE 0;32032 0;0
737 NONE 0;32032 0;0
738 NONE 0;32032 0;0
739 NONE 0;32032 0;0
740 NONE 0;32032 0;0
741 NONE 0;32032 0;0
742 NONE 0;32032 0;0
743 NONE 0;32032 0;0
744 NONE 32000;-7048 0;0
745 NONE 32000;-7048 0;0
746 NONE 32000;-7048 0;0
747 NONE 32000;-7048 0;0
748 NONE 32000;-7048 0;0
749 NONE 32000;-7048 0;0
750 NONE 32000;-7048 0;0
751 NONE 32000;-7048 0;0
752 NONE 32000;-7048 0;0
753 NONE 32000;-7048 0;0
754 NONE 32000;-7048 0;0
755 NONE 32000;-7048 0;0
756 NONE 32000;-7048 0;0
757 NONE 32000;-7048 0;0
758 NONE 32000;-7048 0;0
759 NONE 32000;-7048 0;0
760 NONE 32000;-7048 0;0
761 NONE 32000;-7048 0;0
762 NONE 32000;-7048 0;0
763 NONE 32000;-7048 0;0
764 NONE 32000;-7048 0;0
765 NONE 32000;-7048 0;0
766 NONE 32000;-7048 0;0
767 NONE 32000;-7048 0;0
768 NONE 32000;-7048 0;0
769 NONE 32000;-7048 0;0
770 NONE 32000;-7048 0;0
